time_s,T_fault_Nm,T_fault_over_T_nom_percent,omega_m_rad_per_s,abs_i_s_peak_A
0.000000000000000000e+00,1.307685630318438257e+02,9.999999999999987210e+01,1.231504320207198901e+02,6.711003580865856577e+01
4.000800160032006955e-05,1.223612581378288269e+02,9.357085166412062449e+01,1.231504320207198901e+02,6.330714903290765960e+01
8.001600320064013909e-05,1.139494883597271269e+02,8.713828898768186093e+01,1.231504320207198901e+02,5.954719319990921633e+01
1.200240048009602086e-04,1.055351710247998511e+02,8.070377816960530026e+01,1.231504320207198901e+02,5.583738364397099474e+01
1.600320064012802782e-04,9.712021381047094337e+01,7.426877802948770579e+01,1.231504320207198901e+02,5.218679519452826554e+01
2.000400080016003477e-04,8.870651437883030610e+01,6.783473972810193686e+01,1.231504320207198901e+02,4.860696867250436526e+01
2.400480096019204173e-04,8.029596001523978543e+01,6.140310649103530238e+01,1.231504320207198901e+02,4.511274002014483386e+01
2.800560112022405139e-04,7.189042727109804787e+01,5.497531333550841026e+01,1.231504320207198901e+02,4.172337091470762260e+01
3.200640128025605564e-04,6.349178161082216576e+01,4.855278680041855210e+01,1.231504320207198901e+02,3.846407203740146485e+01
3.600720144028805988e-04,5.510187706309974942e+01,4.213694467964877788e+01,1.231504320207198901e+02,3.536799617226775183e+01
4.000800160032006955e-04,4.672255587646570518e+01,3.572919575868406383e+01,1.231504320207198901e+02,3.247868703076365904e+01
4.400880176035207921e-04,3.835564817925637016e+01,2.933093955457492186e+01,1.231504320207198901e+02,2.985269477991959519e+01
4.800960192038408346e-04,3.000297164399182392e+01,2.294356605928725656e+01,1.231504320207198901e+02,2.756143893426197522e+01
5.201040208041608770e-04,2.166633115623693229e+01,1.656845548647718758e+01,1.231504320207198901e+02,2.569028970639261900e+01
5.601120224044810279e-04,1.334751848798963536e+01,1.020697802172784030e+01,1.231504320207198901e+02,2.433165213657435544e+01
6.001200240048010703e-04,5.048311975644105054e+00,3.860493576284668382e+00,1.231504320207198901e+02,2.356934554491705924e+01
6.401280256051211127e-04,-3.229523797424856735e+00,-2.469648455675407028e+00,1.231504320207198901e+02,2.345647088574532901e+01
6.801360272054411552e-04,-1.148423831361114544e+01,-8.782109436206445352e+00,1.231504320207198901e+02,2.399709701371194726e+01
7.201440288057611976e-04,-1.971409542911657553e+01,-1.507556171915410204e+01,1.231504320207198901e+02,2.514414729120543868e+01
7.601520304060813485e-04,-2.791737367723746388e+01,-2.134868888208184146e+01,1.231504320207198901e+02,2.681517216929064062e+01
8.001600320064013909e-04,-3.609236656685729372e+01,-2.760018595453120582e+01,1.231504320207198901e+02,2.891498768443461742e+01
8.401680336067214334e-04,-4.423738287610531472e+01,-3.382875964258541757e+01,1.231504320207198901e+02,3.135334421110125547e+01
8.801760352070415842e-04,-5.235074694114251059e+01,-4.003312854970682366e+01,1.231504320207198901e+02,3.405364087084682723e+01
9.201840368073616267e-04,-6.043079894003723496e+01,-4.621202339381941471e+01,1.231504320207198901e+02,3.695478877522271688e+01
9.601920384076816691e-04,-6.847589517169444662e+01,-5.236418722060867026e+01,1.231504320207198901e+02,4.000962900450054605e+01
1.000200040008001820e-03,-7.648440832980347182e+01,-5.848837561301215260e+01,1.231504320207198901e+02,4.318226637099189702e+01
1.040208041608321754e-03,-8.445472777177056400e+01,-6.458335689687484660e+01,1.231504320207198901e+02,4.644545881530884657e+01
1.080216043208641905e-03,-9.238525978260422278e+01,-7.064791234274487408e+01,1.231504320207198901e+02,4.977845457916116345e+01
1.120224044808962056e-03,-1.002744278337213331e+02,-7.668083636378499079e+01,1.231504320207198901e+02,5.316532686165631105e+01
1.160232046409281990e-03,-1.081206728366452836e+02,-8.268093670977815179e+01,1.231504320207198901e+02,5.659373463831447282e+01
1.200240048009602141e-03,-1.159224533915664921e+02,-8.864703465720405973e+01,1.231504320207198901e+02,6.005401398420741543e+01
1.240248049609922075e-03,-1.236782460307387055e+02,-9.457796519536678659e+01,1.231504320207198901e+02,6.353851438081515113e+01
