time_s,T_fault_Nm,T_fault_over_T_nom_percent,T_envelope_Nm,T_envelope_over_T_nom_percent
0.000000000000000000e+00,1.307685630318439109e+02,1.000000000000000000e+02,5.504149695536730178e+02,4.209077142031754875e+02
4.000800160032006955e-05,1.225431236825343291e+02,9.370992602609958055e+01,5.490319006109319844e+02,4.198500678463793179e+02
8.001600320064013909e-05,1.143314907711181689e+02,8.743040997038173145e+01,5.476523070091722047e+02,4.187950791168451588e+02
1.200240048009602086e-04,1.061354363704995620e+02,8.116280695433974302e+01,5.462761800156439449e+02,4.177427413365537063e+02
1.600320064012802782e-04,9.795672016581627872e+01,7.490846262642077136e+01,5.449035109195408495e+02,4.166930478442662888e+02
2.000400080016003477e-04,8.979708912202717386e+01,6.866871290782660253e+01,5.435342910319449174e+02,4.156459919954820634e+02
2.400480096019204173e-04,8.165827715601876946e+01,6.244488374177046808e+01,5.421685116857715911e+02,4.146015671623968615e+02
2.800560112022405139e-04,7.354200481328518890e+01,5.623829084623091745e+01,5.408061642357145047e+02,4.135597667338601582e+02
3.200640128025605564e-04,6.544997894922748571e+01,5.005023947023837394e+01,5.394472400581910279e+02,4.125205841153338611e+02
3.600720144028805988e-04,5.738389241512440009e+01,4.388202415373383758e+01,5.380917305512876965e+02,4.114840127288506437e+02
4.000800160032006955e-04,4.934542374881771565e+01,3.773492849103299562e+01,5.367396271347059837e+02,4.104500460129722228e+02
4.400880176035207921e-04,4.133623687016144288e+01,3.161022489793323942e+01,5.353909212497073895e+02,4.094186774227475780e+02
4.800960192038408346e-04,3.335798078127591282e+01,2.550917438249496882e+01,5.340456043590594390e+02,4.083899004296713997e+02
5.201040208041608770e-04,2.541228927165332507e+01,1.943302631953299908e+01,5.327036679469823639e+02,4.073637085216435594e+02
5.601120224044810279e-04,1.750078062815267899e+01,1.338301822884679382e+01,5.313651035190941911e+02,4.063400952029270456e+02
6.001200240048010703e-04,9.625057349928692219e+00,7.360375557223841625e+00,5.300299026023575379e+02,4.053190539941072075e+02
6.401280256051211127e-04,1.786705868329783398e+00,1.366311464242897733e+00,5.286980567450259514e+02,4.043005784320508837e+02
6.801360272054411552e-04,-6.012703728193116604e+00,-4.597973388090944802e+00,5.273695575165900209e+02,4.032846620698649076e+02
7.201440288057611976e-04,-1.377161796413402683e+01,-1.053129104185418896e+01,5.260443965077248549e+02,4.022712984768563729e+02
7.601520304060813485e-04,-2.148850024189750130e+01,-1.643246644582670868e+01,5.247225653302357387e+02,4.012604812384905699e+02
8.001600320064013909e-04,-2.916183110164973868e+01,-2.230033765420244052e+01,5.234040556170058380e+02,4.002522039563514227e+02
8.401680336067214334e-04,-3.679010847602291534e+01,-2.813375602136426679e+01,5.220888590219429943e+02,3.992464602481005613e+02
8.801760352070415842e-04,-4.437184793964119223e+01,-3.393158639269902466e+01,5.207769672199269735e+02,3.982432437474370204e+02
9.201840368073616267e-04,-5.190558295343700479e+01,-3.969270729142851906e+01,5.194683719067567154e+02,3.972425481040570503e+02
9.601920384076816691e-04,-5.938986510373207750e+01,-4.541601110143716369e+01,5.181630647990973557e+02,3.962443669836133608e+02
1.000200040008001820e-03,-6.682326433605220473e+01,-5.110040424607238663e+01,5.168610376344287261e+02,3.952486940676759559e+02
1.040208041608321754e-03,-7.420436918365317069e+01,-5.674480736290067284e+01,5.155622821709922619e+02,3.942555230536913200e+02
1.080216043208641905e-03,-8.153178699073056634e+01,-6.234815547439828975e+01,5.142667901877389340e+02,3.932648476549429120e+02
1.120224044808962056e-03,-8.880414413029112097e+01,-6.790939815455959661e+01,5.129745534842776351e+02,3.922766616005112610e+02
1.160232046409281990e-03,-9.602008621666396948e+01,-7.342749969140655253e+01,5.116855638808228832e+02,3.912909586352344604e+02
1.200240048009602141e-03,-1.031782783126306526e+02,-7.890143924538296005e+01,5.103998132181430947e+02,3.903077325196682636e+02
1.240248049609922075e-03,-1.102774051311538415e+02,-8.433021100361851552e+01,5.091172933575090838e+02,3.893269770300467485e+02
1.280256051210242225e-03,-1.173161712316871785e+02,-8.971282433004873269e+01,5.078379961806425058e+02,3.883486859582429815e+02
1.320264052810562376e-03,-1.242933012110503768e+02,-9.504830391137913637e+01,5.065619135896641865e+02,3.873728531117295688e+02
1.360272054410882310e-03,-1.312075398888517839e+02,-1.003356898988795791e+02,5.052890375070434175e+02,3.863994723135396612e+02
1.400280056011202461e-03,-1.380576524874467736e+02,-1.055740380460002967e+02,5.040193598755461721e+02,3.854285374022276187e+02
1.440288057611522395e-03,-1.448424248064167159e+02,-1.107624198417976231e+02,5.027528726581847991e+02,3.844600422318303572e+02
1.480296059211842546e-03,-1.515606633915587054e+02,-1.158999226401620888e+02,5.014895678381665221e+02,3.834939806718278987e+02
1.520304060812162697e-03,-1.582111956983749224e+02,-1.209856497848403762e+02,5.002294374188430197e+02,3.825303466071049456e+02
1.560312062412482631e-03,-1.647928702500518057e+02,-1.260187207302435013e+02,4.989724734236598351e+02,3.815691339379123406e+02
1.600320064012802782e-03,-1.713045567899232537e+02,-1.309982711580368857e+02,4.977186678961057282e+02,3.806103365798280720e+02
1.640328065613122933e-03,-1.777451464284096119e+02,-1.359234530895061255e+02,4.964680128996623125e+02,3.796539484637187911e+02
1.680336067213442867e-03,-1.841135517844274716e+02,-1.407934349936944329e+02,4.952205005177540329e+02,3.786999635357017269e+02
1.720344068813763018e-03,-1.904087071212675539e+02,-1.456074018913096495e+02,4.939761228536978024e+02,3.777483757571060323e+02
1.760352070414083168e-03,-1.966295684769359013e+02,-1.503645554543976459e+02,4.927348720306532073e+02,3.767991791044347565e+02
1.800360072014403102e-03,-2.027751137889589756e+02,-1.550641141017818825e+02,4.914967401915724281e+02,3.758523675693265318e+02
1.840368073614723253e-03,-2.088443430136519794e+02,-1.597053130902689304e+02,4.902617194991507290e+02,3.749079351585177164e+02
1.880376075215043187e-03,-2.148362782398494346e+02,-1.642874046016196417e+02,4.890298021357768334e+02,3.739658758938044230e+02
1.920384076815363338e-03,-2.207499637971033906e+02,-1.688096578252892357e+02,4.878009803034832430e+02,3.730261838120046605e+02
1.960392078415683272e-03,-2.265844663583508520e+02,-1.732713590369380086e+02,4.865752462238969542e+02,3.720888529649204202e+02
